LAT,LONG,accX,accY,accZ,gyroX,gyroY,gyroZ,Speed,Timestamp In mills,Timestamp In Date
18.45942389,73.78775482,-0.47780263,0.95703125,1.696631,0.86094666,-0.11558533,-0.20814514,10.32,1544974508044,16-Dec-2018
18.45942389,73.78775482,0.5125712,0.3880844,0.47621655,-0.043685913,0.40119934,-0.6441803,10.32,1544974508243,16-Dec-2018
18.45942389,73.78775482,-0.70487213,0.087677956,-0.0061039925,-0.34387207,0.77108765,-0.26792908,10.32,1544974508442,16-Dec-2018
18.45942389,73.78775482,2.0352173,-0.93146324,-0.8941361,-0.6371918,-0.36747742,-0.13783264,10.32,1544974508641,16-Dec-2018
18.45942389,73.78775482,-2.5826147,0.473711,-0.15832987,-0.7080078,-0.7312927,-0.3083954,10.32,1544974508842,16-Dec-2018
18.45942389,73.78775482,0.058146626,-0.1575756,-0.33512303,-0.30825806,-1.3358765,-0.103897095,10.32,1544974509042,16-Dec-2018
18.45942389,73.78775482,1.1600676,0.38694,-0.29340476,0.03703308,-1.079834,0.06625366,10.32,1544974509241,16-Dec-2018
18.45942389,73.78775482,0.7225894,0.09902954,0.31027287,0.09341431,-0.9550934,0.26660156,10.32,1544974509440,16-Dec-2018
18.45942389,73.78775482,-2.0428371,-1.4243889,-0.21763587,1.6221313,-0.4325714,0.55685425,10.32,1544974509639,16-Dec-2018
18.45942389,73.78775482,-1.9194916,1.211318,0.7741833,0.6130066,0.7392578,-0.3957672,10.32,1544974509839,16-Dec-2018
18.45942389,73.78775482,0.2909757,0.2508192,1.43333,-0.4444275,-0.21774292,-0.35617065,10.32,1544974510039,16-Dec-2018
18.45942389,73.78775482,-1.6459852,1.117899,-0.5921037,-0.50605774,0.36495972,-0.18482971,10.32,1544974510238,16-Dec-2018
18.45942389,73.78775482,1.9557072,-0.4613409,-1.0082557,-0.46878052,-0.77612305,0.06591797,10.32,1544974510437,16-Dec-2018
18.45942389,73.78775482,-2.5004997,0.6119213,-0.37465277,-0.5396881,-0.46400452,-0.22671509,10.32,1544974510637,16-Dec-2018
18.45942389,73.78775482,0.40398246,-0.061278343,-0.13836913,-0.1923523,-1.2298279,0.033432007,10.32,1544974510847,16-Dec-2018
18.45942389,73.78775482,2.0261781,-0.52160645,-0.0091177635,0.08772278,-1.1874695,0.18676758,10.32,1544974511035,16-Dec-2018
18.45942389,73.78775482,-0.14867443,0.64550114,0.6753576,1.2238464,-1.1321259,0.42767334,10.32,1544974511237,16-Dec-2018
18.45942389,73.78775482,1.3690221,1.2090702,1.2527933,0.6040497,-0.2131958,-0.053970337,10.32,1544974511435,16-Dec-2018
18.45942389,73.78775482,0.22314239,0.7165928,1.1167818,-0.4947815,-0.7183838,-0.19335938,10.32,1544974511634,16-Dec-2018
18.45942389,73.78775482,-0.43782675,0.051883698,1.3862348,0.19625854,0.31697083,0.28112793,10.32,1544974511833,16-Dec-2018
18.45942389,73.78775482,-0.55598366,-0.67191505,0.7498379,-0.3219757,-0.23570251,0.044311523,10.32,1544974512033,16-Dec-2018
18.45942389,73.78775482,-0.9528127,-0.20975208,-0.17382121,-0.48176575,-0.33403015,-0.25782776,10.32,1544974512232,16-Dec-2018
18.45942389,73.78775482,2.4132123,0.20175266,-1.6680663,-0.53060913,-0.57099915,-0.16149902,10.32,1544974512432,16-Dec-2018
18.45942389,73.78775482,0.6523655,-0.011930466,-1.0153098,-0.19294739,-0.69540405,-0.112594604,10.32,1544974512632,16-Dec-2018
18.45942389,73.78775482,0.24293792,-0.37487888,-0.3145564,-0.28520203,-0.29092407,-0.01663208,10.32,1544974512832,16-Dec-2018
18.45942389,73.78775482,-0.11436383,0.039308548,-0.16778727,-0.09851074,-0.35466003,0.11932373,10.32,1544974513031,16-Dec-2018
18.45942389,73.78775482,0.08363761,-0.6469097,-0.44046718,0.13087463,-0.31375122,0.23400879,10.32,1544974513230,16-Dec-2018
18.45942389,73.78775482,-0.8345936,0.5502958,1.3938329,1.1101685,0.27986145,0.5343628,10.32,1544974513430,16-Dec-2018
18.45942389,73.78775482,-0.50607276,1.3186646,0.996601,0.8970642,0.27023315,-0.052444458,10.32,1544974513627,16-Dec-2018
18.45942389,73.78775482,-1.0833867,0.98775387,1.0108383,-0.35720825,-0.116760254,-0.48635864,10.32,1544974513829,16-Dec-2018
18.45942389,73.78775482,-0.20334876,-5.8894567,-2.4969845,-0.6626129,-0.32183838,-0.17131042,10.32,1544974514029,16-Dec-2018
18.45942389,73.78775482,2.0502257,-0.3873577,-0.94843566,-0.27305603,-0.05003357,-0.063705444,10.32,1544974514227,16-Dec-2018
18.45942389,73.78775482,0.38921952,0.33460045,-1.2718198,-0.25482178,0.021652222,-0.091537476,10.32,1544974514426,16-Dec-2018
18.45942389,73.78775482,-0.630745,-0.16686058,-0.26124644,-0.04360962,0.039413452,0.010421753,10.32,1544974514628,16-Dec-2018
18.45942389,73.78775482,0.28116304,-0.19611645,0.23114127,-0.012908936,-0.013168335,0.04815674,10.32,1544974514825,16-Dec-2018
18.45942389,73.78775482,-0.07839659,-0.020539284,-0.14045838,-0.040405273,0.015197754,0.0037078857,10.32,1544974515025,16-Dec-2018
18.45942389,73.78775482,0.8010934,0.2784624,-0.021189123,-0.04284668,-0.11413574,0.0025482178,10.32,1544974515224,16-Dec-2018
18.45942389,73.78775482,7.0375204E-4,0.15964985,-0.21938401,-0.07551575,0.2811432,0.018051147,10.32,1544974515424,16-Dec-2018
18.45942389,73.78775482,-0.2574107,0.1076622,-0.017151296,-0.033203125,0.38220215,0.03125,10.32,1544974515627,16-Dec-2018
18.45942389,73.78775482,-0.14435482,0.02066803,0.3602908,-0.101364136,0.12944031,0.10272217,10.32,1544974515824,16-Dec-2018
18.45942389,73.78775482,-1.2038951,-0.09164238,-0.24669665,0.120666504,0.020248413,0.12583923,10.32,1544974516022,16-Dec-2018
18.45942389,73.78775482,-0.1998533,0.5231848,0.09983873,0.26441956,-0.44300842,0.2836914,10.32,1544974516222,16-Dec-2018
18.45942389,73.78775482,0.38569367,0.11805439,0.8325164,0.25872803,-0.23225403,0.19976807,10.32,1544974516422,16-Dec-2018
18.45942389,73.78775482,-1.2077763,0.11748886,1.2491952,0.7719269,0.5042267,0.31793213,10.32,1544974516625,16-Dec-2018
18.45942389,73.78775482,-0.5496657,0.6048832,0.9370259,0.22471619,0.12358093,-0.12582397,10.32,1544974516820,16-Dec-2018
18.45942389,73.78775482,0.67746764,1.1895323,0.74844253,-0.1923523,0.14628601,-0.51371765,10.32,1544974517019,16-Dec-2018
18.45942389,73.78775482,-0.35743338,-1.5784225,1.0997455,-0.45211792,0.28923035,-0.061584473,10.32,1544974517219,16-Dec-2018
18.45942389,73.78775482,-0.4150132,-0.27717686,-2.2625237,-0.34405518,0.22427368,-0.092926025,10.32,1544974517419,16-Dec-2018
18.45942389,73.78775482,0.25608358,-0.21323967,-0.72725004,-0.23278809,-0.035507202,-0.09329224,10.32,1544974517629,16-Dec-2018
18.45942389,73.78775482,0.20467475,0.009195328,-0.77038145,-0.23228455,-0.077697754,0.01727295,10.32,1544974517817,16-Dec-2018
18.45942389,73.78775482,0.15701419,-0.036787033,-0.28555447,-0.11697388,-0.2271576,0.18551636,10.32,1544974518018,16-Dec-2018
18.45942389,73.78775482,-1.0877259,-0.09295559,-0.7246131,0.3340149,-0.11906433,0.2347107,10.32,1544974518216,16-Dec-2018
18.45942389,73.78775482,-0.6113527,-0.09046936,0.95439065,0.35760498,-0.26870728,0.41952515,10.32,1544974518416,16-Dec-2018
18.45942389,73.78775482,-1.179142,0.028684616,1.8492326,0.5653229,0.053985596,0.21911621,10.32,1544974518616,16-Dec-2018
18.45942389,73.78775482,-0.5422754,-0.010962486,0.51570606,0.37815857,0.1199646,-0.37698364,10.32,1544974518814,16-Dec-2018
18.45942389,73.78775482,-0.13207817,0.36169624,0.81029296,0.09587097,0.39169312,-0.5035553,10.32,1544974519014,16-Dec-2018
18.45942389,73.78775482,-0.45713627,0.36754417,0.2200067,-0.17010498,0.48521423,-0.20605469,10.32,1544974519214,16-Dec-2018
18.45942389,73.78775482,0.6236826,-0.36419487,0.42198133,-0.5104065,-0.007949829,-0.15803528,10.32,1544974519413,16-Dec-2018
18.45942389,73.78775482,1.1820116,-1.1529837,-1.3949789,-0.701416,-0.25881958,-0.11514282,10.32,1544974519613,16-Dec-2018
18.45942389,73.78775482,0.6371577,-0.013631821,-0.9796179,-0.08744812,0.121536255,-0.07472229,10.32,1544974519812,16-Dec-2018
18.45942389,73.78775482,0.7563913,0.041941643,-0.9429594,-0.08030701,-0.114089966,-0.020187378,10.32,1544974520012,16-Dec-2018
18.45942389,73.78775482,0.25174254,0.043299675,-0.29347152,-0.24795532,-0.2260437,0.009811401,10.32,1544974520211,16-Dec-2018
18.45942389,73.78775482,0.33287847,0.10586262,-0.17988974,-0.10385132,-0.25868225,0.16217041,10.32,1544974520411,16-Dec-2018
18.45942389,73.78775482,-0.90916246,-0.6083698,-0.6522589,-0.024871826,-0.13189697,0.22735596,10.32,1544974520610,16-Dec-2018
18.45942389,73.78775482,-0.28816307,0.40292263,0.11230129,0.20333862,-0.24490356,0.30374146,10.32,1544974520810,16-Dec-2018
18.45942389,73.78775482,-1.1658794,-0.049567223,1.2132903,0.6112671,0.052200317,0.2969818,10.32,1544974521010,16-Dec-2018
18.45942389,73.78775482,0.4165175,0.43810272,0.7358624,0.8161316,0.6001892,-0.42382812,10.32,1544974521213,16-Dec-2018
18.45942389,73.78775482,-0.6689584,0.6561327,1.2420511,0.3336792,0.78518677,-0.40802002,10.32,1544974521408,16-Dec-2018
18.45942389,73.78775482,-0.33140314,0.4471531,-0.009362817,-0.2939148,0.052490234,-0.19064331,10.32,1544974521608,16-Dec-2018
18.45942389,73.78775482,7.6173286,-1.4804087,-0.9874182,-0.5030365,-0.85935974,0.15756226,10.32,1544974521807,16-Dec-2018
18.45942389,73.78775482,0.07492718,-0.23801899,-0.706899,-0.29130554,0.05154419,-0.103256226,10.32,1544974522006,16-Dec-2018
18.45942389,73.78775482,-0.20390683,-0.04147339,-0.5879733,-0.3028412,-0.03404236,-0.10522461,10.32,1544974522205,16-Dec-2018
18.45942389,73.78775482,0.45720422,0.47283363,0.10558607,-0.24710083,-0.033294678,-0.038604736,10.32,1544974522405,16-Dec-2018
18.45942389,73.78775482,0.4337058,0.17761707,-0.38234866,-0.22486877,-0.21322632,0.18382263,10.32,1544974522604,16-Dec-2018
